127.0.0.1, 2018-10-22 15:35:11, GET, /, HTTP/1.1, 303, 0.156667
127.0.0.1, 2018-10-22 15:35:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.264084
127.0.0.1, 2018-10-22 15:35:46, GET, /admin/default/site, HTTP/1.1, 303, 0.103646
127.0.0.1, 2018-10-22 15:35:46, GET, /admin/default/index, HTTP/1.1, 200, 0.027102
127.0.0.1, 2018-10-22 15:35:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000373
127.0.0.1, 2018-10-22 15:35:50, POST, /admin/default/index, HTTP/1.1, 303, 0.011936
127.0.0.1, 2018-10-22 15:35:50, GET, /admin/default/site, HTTP/1.1, 200, 0.043269
127.0.0.1, 2018-10-22 15:35:50, POST, /admin/default/check_version, HTTP/1.1, 200, 0.187360
127.0.0.1, 2018-10-22 15:35:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000204
127.0.0.1, 2018-10-22 15:35:52, GET, /CMPS183_HW2/default/index, HTTP/1.1, 200, 0.074749
127.0.0.1, 2018-10-22 15:35:52, GET, /CMPS183_HW2/static/css/calendar.css, HTTP/1.1, 200, 0.000672
127.0.0.1, 2018-10-22 15:35:52, GET, /CMPS183_HW2/static/css/stupid.css, HTTP/1.1, 200, 0.001322
127.0.0.1, 2018-10-22 15:35:52, GET, /CMPS183_HW2/static/css/web2py.css, HTTP/1.1, 200, 0.002668
127.0.0.1, 2018-10-22 15:35:52, GET, /CMPS183_HW2/static/css/custom.css, HTTP/1.1, 200, 0.000967
127.0.0.1, 2018-10-22 15:35:52, GET, /CMPS183_HW2/static/css/myapp.css, HTTP/1.1, 200, 0.001406
127.0.0.1, 2018-10-22 15:35:52, GET, /CMPS183_HW2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000499
127.0.0.1, 2018-10-22 15:35:52, GET, /CMPS183_HW2/static/js/jquery.js, HTTP/1.1, 200, 0.000720
127.0.0.1, 2018-10-22 15:35:52, GET, /CMPS183_HW2/static/js/calendar.js, HTTP/1.1, 200, 0.000509
127.0.0.1, 2018-10-22 15:35:52, GET, /CMPS183_HW2/static/js/marked.min.js, HTTP/1.1, 200, 0.000786
127.0.0.1, 2018-10-22 15:35:52, GET, /CMPS183_HW2/static/js/web2py.js, HTTP/1.1, 200, 0.004594
127.0.0.1, 2018-10-22 15:35:52, GET, /CMPS183_HW2/static/js/vue.min.js, HTTP/1.1, 200, 0.000889
127.0.0.1, 2018-10-22 15:35:52, GET, /CMPS183_HW2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000335
127.0.0.1, 2018-10-22 15:35:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000349
127.0.0.1, 2018-10-22 15:39:07, GET, /, HTTP/1.1, 303, 0.010679
127.0.0.1, 2018-10-22 15:39:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.368647
127.0.0.1, 2018-10-22 15:39:12, GET, /CMPS183_HW2/default/index, HTTP/1.1, 200, 0.072543
127.0.0.1, 2018-10-22 15:39:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000329
127.0.0.1, 2018-10-22 16:22:09, GET, /, HTTP/1.1, 303, 0.005807
